2.33,3.68
25.31,6.79
24.70,6.37
14.92,10.40
4.00,6.00
26.46,7.78
25.08,7.34
18.67,1.84
1.28,2.12
27.35,7.80
26.68,7.26
24.00,6.00
0.44,1.36
13.78,4.59
26.35,9.55
25.08,6.37
1.31,3.09
14.18,5.72
25.84,7.80
24.80,5.45
3.07,4.54
2.33,0.77
25.67,7.54
25.95,6.95
4.26,5.16
14.98,4.74
20.78,5.38
27.04,6.77
1.74,4.47
15.59,5.08
19.64,6.23
27.55,6.34
2.46,4.95
15.87,6.68
19.96,6.73
28.31,7.03
4.77,5.95
15.00,6.53
19.07,7.55
27.79,7.03
2.96,5.54
15.00,6.00
19.92,7.22
27.04,8.32
3.58,5.30
14.56,5.26
21.89,5.71
27.58,7.50
14.14,4.08
16.17,7.60
0.64,2.54
28.59,6.46
15.07,5.36
16.89,7.39
2.00,3.00
28.00,6.00
14.88,4.34
18.48,7.95
1.71,3.75
15.84,5.35
19.07,7.14
2.33,4.24
16.20,5.91
20.68,6.09
10.47,6.37
16.68,6.79
21.04,5.64
12.97,3.81
17.62,7.37
22.07,4.78
5.84,6.81
18.64,6.89
22.77,4.74
5.23,6.75
20.27,6.10
23.33,4.69
5.26,6.33
21.46,4.72
23.71,4.93
4.59,6.33
22.26,3.71
24.04,5.23
7.70,2.86
23.22,5.46
24.26,5.71
10.09,9.68
